Zeile;id_fuer_max_de_kanal;Querschnitt_ID;Querschnitt;Bezeichner;de_kanal_max;Knotennummer;Breite_WGS;Laenge_WGS;Nummer;Betriebs_km;DZ_Nummer;Betriebsstatus;SST_ID;Streckenstation;FG;Fahrbahnteil;Unterzentrale;Fahrtrichtung;Richtung
1;58306;Querschnitt5796;GMA_Q267_Sbg;WUD_TT3_Q267_Sbg;23;809746;47.7929707169716;12.8645574687589;5796;117.995;;Betriebsstatus1;Streckenstation80;SSTQ267;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung Salzburg;Richtungfalse
2;51120;Querschnitt5797;GMA_Q267_Mch;WUD_TT1_Q267_Mch;30;809746;47.7930920721344;12.8647871611345;5797;117.995;;Betriebsstatus1;Streckenstation80;SSTQ267;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
3;54529;Querschnitt5798;GMAQ221_Mch;WUD_HK_Q221_Mch;93;819068;47.828928079835;12.6082583526882;5798;96.62;;Betriebsstatus1;Streckenstation123;SSTQ221;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
4;52717;Querschnitt5799;NMGQ221_Mch;WUD_SW_Q221_NMG;1;819068;47.82851985;12.60767222;5799;96.62;;Betriebsstatus1;Streckenstation123;SSTQ221;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
5;63246;Querschnitt239;MQQ277_Sbg_H;DETQ277_Sbg_H2;2;809867;47.7677558252924;12.9000925384331;239;121.9;82439035;Betriebsstatus1;Streckenstation85;SSTQ277;1;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung Salzburg;Richtungfalse
6;59733;Querschnitt684;AQAQ204-Mch;WZGAQ204-Mch_RGL;162;9416187;48.1429693950473;11.7346985048892;684;8.18;;Betriebsstatus1;Streckenstation263;SSTAQ204;4;Fahrbahnteil1;UZ Riem;A94 Richtung M.-Zentrum;Richtungtrue
7;56873;Querschnitt5800;GMAQ275_Mch;WUD_HK_Q275_Mch;94;809848;47.7711483925674;12.893068778873;5800;121.25;80000893;Betriebsstatus1;Streckenstation84;SSTQ275;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
8;52144;Querschnitt5801;GMAQ269_Mch;WUD_HK_Q268_Mch;94;809779;47.78495108;12.87304907;5801;119.08;;Betriebsstatus1;Streckenstation81;SSTQ269;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
9;61452;Querschnitt5802;GMAQ256_Mch;WUD_TT1_Q256_Mch;30;809523;47.8288517216637;12.7939530725194;5802;110.97;80000898;Betriebsstatus1;Streckenstation75;SSTQ256;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
10;51727;Querschnitt5803;GMAQ255_Mch;WUD_HK_Q255_Mch;94;809517;47.8284936864966;12.7919924083065;5803;110.825;;Betriebsstatus1;Streckenstation74;SSTQ255;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
11;55758;Querschnitt5804;GMAQ249_Mch;WUD_HK_Q249_Mch;94;809415;47.8279737881498;12.7501523286573;5804;107.6;80000895;Betriebsstatus1;Streckenstation72;SSTQ249;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
12;55256;Querschnitt5805;NMGQ249_Sbg;WUD_SW_Q249_Sbg;1;809415;47.8278111902701;12.7499422249051;5805;107.6;;Betriebsstatus1;Streckenstation72;SSTQ249;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung Salzburg;Richtungfalse
13;53229;Querschnitt5806;GMAQ239_Mch;WUD_HK_Q239_Mch;94;809301;47.8291936186246;12.7038581860313;5806;104.025;;Betriebsstatus1;Streckenstation67;SSTQ239;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
14;52154;Querschnitt5807;GMAQ238_Mch;WUD_TT1_Q238_Mch;30;809278;47.8282782898642;12.6937145039931;5807;103.26;80000891;Betriebsstatus1;Streckenstation66;SSTQ238;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
15;61882;Querschnitt5808;GMAQ235_Mch;WUD_HK_Q235_Mch;94;809202;47.8254643786199;12.6635550136623;5808;100.875;;Betriebsstatus1;Streckenstation64;SSTQ235;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
16;53288;Querschnitt5809;NMGQ235_Sbg;WUD_SW_Q235_Sbg;1;809202;47.8252620655326;12.6632072996468;5809;100.875;;Betriebsstatus1;Streckenstation64;SSTQ235;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung Salzburg;Richtungfalse
17;54813;Querschnitt5810;GMAQ223_Mch;WUD_TT1_Q223_Mch;30;809078;47.8287533685931;12.6122852646416;5810;96.95;80000886;Betriebsstatus1;Streckenstation60;SSTQ223;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
18;51432;Querschnitt5811;GMAQ251_Mch;WUD_TT1_Q251_Mch;30;819448;47.8268618421495;12.7628378021242;5811;108.6;80000897;Betriebsstatus1;Streckenstation126;SSTQ251;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
19;59795;Querschnitt5812;GMAQ231_Sbg;WUD_TT1_Q231_Sbg;30;819154;47.8276654535571;12.6452342508486;5812;99.48;80000890;Betriebsstatus1;Streckenstation125;SSTQ231;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung Salzburg;Richtungfalse
20;50596;Querschnitt5813;GMA231_Mch;WUD_HK_Q231_Mch;93;819154;47.8278719245012;12.6453743122724;5813;98.48;80000890;Betriebsstatus1;Streckenstation125;SSTQ231;3;Fahrbahnteil1;UZ Siegsdorf;A8-Ost Richtung M.-Zentrum;Richtungtrue
