AB_EAID4Vergleich	BAB	FAHRTRICHTUNG	BABKM	TYP	ID	NAME	LOC	DIST	FG	DE	PORT	SLAVE	EAK	EA	KOMMENTAR	TLSTYP	EAID	HERSTELLER	IFACEKEY	MAKRO	FAHRSTREIFEN	WZGTYP	LATITUDE	LONGITUDE	AB_ID	AB_4ID	AB_ROUTE	AB_ANZEIGEPRINZIP	AB_STEUERUNG	AB_ZS	AB_FAHRTRICHTUNG	AB_TLSTYP	AB_FAHRBAHNBREITE	AB_AQTYP	AB_ASPICT	AB_ASFLIP	AB_ENDE	Quelldatei	Tabellenblatt	Status	CSV-Filter	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	41	42	43	44	45	46	47	48	49	50	51	52	52b	53	54	55	56	57	58	59
																																							HB		0	          Ort         			Netzlage		Knotennummer									Logische		Physikalische Adressen         						TLS				Bemerkungen			Anschluss-Nr.				Standort	Objekt	Objekttyp	Querschnitt-ID	MQ-Typ	zugeordnete Referenz-AQs (Querschnitt-ID mit # getrennt)	Beschriftung    für BuV Oberfläche	Betr.-km	WVZ-                   Type        	Darstellbare Zeichen gem. TLS-WVZ-Codes		"WVZ: Zeilen-Nr. (nur bei AQ) von oben mit ""1"" beginnend"	"WVZ: Spalte in Spur (nur bei AQ) von links mit ""1"" beginnend"	Fa.-Ri    (N,S,O,W)	SpurbezugzurRi.Fb	WGS 84 (rechter FB-Rand)				Fahrtrichtung				Bezug zur Anschlussstelle		
				VRZ	VRZ_BY	VRZ	1000	0			0	0	0																										HB		0	BAB	BAB-km												DZS	Adressen		Inselbus		Lokalbus	EAK	UZ 				Prinzip	Steuerung								der SST in															Rechts	Hoch	Höhe (ü. NN)	Koordinaten	nur bei Einbiegern			nur bei Abb.	zwischen-/ bei-As	und-AS	
				UZ	UZ_BY	UZ	1000	1			201	1																											HB		0		von	bis	Topographie	Bezeichnung	Location	Dist.	XHI	HI	LO 	IP-Adresse SM	Subnetzmaske	Port-Nr.(IP)	Zst.Nr.	FG	DE-Kanal	Port	Slave/SM	Slave	Kanal	ID	intern	Version	Typ	Anzeige		Bemerkungen 1	Bemerkungen 2	Bemerkungen 3	Typ	Bit	Projekt	Hers.	Fahrtrichtung										WVZ-Semantik (nur für PW)								neu 03/2015	von Richtung	von Str. Nr.	in Richtung	Str. in Richtg.			
																																									0																																																											
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	630,792		Schweinfurt/Niederwerrn (N)	A 007 A 630,8	12293	94	30	5	5E				59269052	1	1	205	1	0	1	028	18	TLS02				HFS FR Nord/Ost					DZS 8+1	Weiss	Ulm	MQ 1.1, 1.2	Messschleife	A630,8			A007 A630,8	630,810						Nord/ Ost	HFS	10,040103172	50,069169417	294,943		Würzburg		Fulda		AS 98 Schweinfurt/ Niederwerrn (B303)	AS 97 Hammelburg (B287)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	630,792		Schweinfurt/Niederwerrn (N)	A 007 A 630,8	12293	94	30	5	5E				59269052	1	2	205	1	0	2	028	18	TLS02				1. ÜFS FR Nord/Ost					DZS 8+1	Weiss	Ulm	MQ 2.1, 2.2	Messschleife	A630,8			A007 A630,8	630,810						Nord/ Ost	UEFS1	10,040103172	50,069169417	294,943		Würzburg		Fulda		AS 98 Schweinfurt/ Niederwerrn (B303)	AS 97 Hammelburg (B287)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	630,792		Schweinfurt/Niederwerrn (N)	A 007 A 630,8	12293	94	30	5	5e				59269052	1	33	205	1	0	3	028	18	TLS02				HFS FR Süd/West					DZS 8+1	Weiss	Ulm	MQ 33.1, 33.2	Messschleife	A630,8			A007 A630,8	630,911						Süd/ West	HFS	10,040965659	50,068417129	291,543		Fulda		Würzburg		AS 97 Hammelburg (B287)	AS 98 Schweinfurt/ Niederwerrn (B303)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	630,792		Schweinfurt/Niederwerrn (N)	A 007 A 630,8	12293	94	30	5	5e				59269052	1	34	205	1	0	4	028	18	TLS02				1. ÜFS FR Süd/West					DZS 8+1	Weiss	Ulm	MQ 34.1, 34.2	Messschleife	A630,8			A007 A630,8	630,911						Süd/ West	UEFS1	10,040965659	50,068417129	291,543		Fulda		Würzburg		AS 97 Hammelburg (B287)	AS 98 Schweinfurt/ Niederwerrn (B303)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	630,792		Schweinfurt/Niederwerrn (N)	A 007 A 630,8	12293	94	30	5	5e					6	1	205	1	0	1	028	18	TLS02				Tür zu / auf			48	0	DZS 8+1	Weiss	Ulm	SS A007 A630,8	Türkontakt	A630,8			A007 A630,8	630,911						Süd/ West	Rechts	10,040948110	50,068399060	291,324		Fulda		Würzburg		AS 97 Hammelburg (B287)	AS 98 Schweinfurt/ Niederwerrn (B303)	
																																						2011-10-12_KonfiglisteVermessungV2.3.0.H-ave.XLS	UZ Erbshausen	Aktiv	X	A 7	636,700		AS Schweinfurt-Niederwerrn - 1800m	A 007 A 636,7	12292	53	30	4	35					4	163	205	2	33	1	028	7	TLS97				Prismenwender Antrieb Umlenkungspfeil oben	PW	Motor 1			NBA N-SW	10	Würzburg	Prisma (AKZ)	Prismenwender	A636,7			A007 A636,7	636,766						Süd/ West	Rechts	10,068075666	50,021272935	281,326		Fulda		Würzburg		AS 98 Schweinfurt/ Niederwerrn (B303)	99 Dreieck Schweinfurt/ Werneck (A70(2))	
