KRI;Unterzentrale
KRI132;LVE - UZ Augsburg
KRI136;LVE - UZ Memmingen
KRI137;LVE - UZ Starnberg
KRI140;LVE - UZ Rosenheim
KRI141;LVE - UZ Pentling
KRI143;LVE - UZ Freimann
KRI144;GMA - UZ Pentling
KRI14;UZ Aubing
KRI164;GMA - UZ Sulzberg
KRI165;GMA - UZ Memmingen
KRI166;GMA - UZ Augsburg
KRI167;GMA - UZ Starnberg
KRI168;GMA - UZ Rosenheim
KRI16;UZ Holzkirchen
KRI16_STS;UZ Holzkirchen
KRI170;GMA - UZ München Nord
KRI171;GMA - UZ Pankofen
KRI172;UZ Füssen
KRI174;Tunnel Kohlberg
KRI17;UZ Riem
KRI188;UZ Wimpasing
KRI189;UZ Freimann NSF
KRI18;UZ Siegsdorf
KRI20;UZ Freimann
KRI_TU_Fa;Tunnel Farchant
UZ01_KRI1;UZ Aubing
UZ01_KRI2;UZ Aubing
UZ01_KRI3;UZ Aubing
UZ01_KRI4;UZ Aubing
UZ01_KRI5;UZ Aubing
UZ01_KRI6;UZ Aubing
UZ01_KRI7;UZ Aubing
UZ06_KRI1;UZ Freising
UZ06_KRI2;UZ Freising
UZ06_KRI3;UZ Freising
UZ06_KRI4;UZ Freising
UZ07_KRI1;UZ Aschheim
UZ07_KRI2;UZ Aschheim
UZ07_KRI3;UZ Aschheim
UZ07_KRI4;UZ Aschheim
UZ07_KRI5;UZ Aschheim
UZ07_KRI6;UZ Aschheim
UZ08_KRI1;UZ Regensburg
UZ08_KRI3;UZ Regensburg
UZ13_KRI1P;UZ Eching/Etterschlag
UZ14_KRI1;UZ Germering
UZ14_KRI2;UZ Germering
UZ15_KRI1;UZ B17 Augsburg
UZ15_KRI1;UZ Oberau
