VERSIONNR;LOCATIONCODE;TYPE;SUBTYPE;ROADNUMBER;ROADNAME;FIRST_NAME;SECOND_NAME;ADMIN_AREA;AREA_REFERENCE;LINEAR_REFERENCE;NEGATIVE_OFFSET;POSITIVE_OFFSET;INTERSECTIONCODE;LATITUDE;LONGITUDE;URBAN;IN_POSITIVE;OUT_POSITIVE;IN_NEGATIVE;OUT_NEGATIVE;PRESENT_POSITIVE;PRESENT_NEGATIVE
20.0;36240;P1;2;A99;Autobahnring München;München Süd-West;;;01956;07240;;36239;36240,36236;48,1269;11,405;0;1;1;1;1;1;1;
20.0;36239;P1;3;A99;Autobahnring München;München-Freiham Mitte;;;01956;07240;36240;36238;36239,43119;48,13835;11,3971;0;1;1;1;1;1;1;
20.0;36238;P1;3;A99;Autobahnring München;Germering-Nord;;;01956;07240;36239;42385;13460,36238;48,14615;11,394;0;1;1;1;1;1;1;
20.0;42385;P3;1;A99;Autobahnring München;Aubing;;;01956;07240;36238;31954;;48,16275;11,4079;0;0;0;0;0;1;1;
20.0;31954;P1;3;A99;Autobahnring München;München-Lochhausen;;;01956;07240;42385;31512;31954,35400;48,174118903021125;11,42466971086056;0;1;1;1;1;1;1;
20.0;31512;P1;1;A99;Autobahnring München;München-West;;;01956;07240;31954;31513;31689,31512;48,18121014186764;11,432567335644253;0;1;1;1;1;1;1;
20.0;31513;P1;2;A99;Autobahnring München;München-Allach;;;01956;07240;31512;31620;31679,31513;48,203916379805285;11,442582500937236;0;1;0;0;1;1;1;
20.0;31620;P3;1;A99;Autobahnring München;Allach;;;01956;07240;31513;12976;;48,207;11,461;0;0;0;0;0;1;1;
20.0;12976;P1;3;A99;Autobahnring München;München-Ludwigsfeld;;;01956;07240;31620;12977;12976,22863;48,2092;11,4854;0;1;1;1;1;1;1;
20.0;12977;P1;2;A99;Autobahnring München;München-Feldmoching;;;01956;07240;12976;60818;12977,12816;48,2262;11,5419;0;1;1;1;1;1;1;
20.0;60818;P3;8;A99;Autobahnring München;Neuherberg;;;02063;07240;12977;12978;;48,227085990777404;11,568374219710378;0;1;1;0;0;1;0;
20.0;12978;P1;3;A99;Autobahnring München;München-Neuherberg;;;02063;07240;60818;35121;20722,27417,12978;48,2285;11,5864;0;1;1;1;1;1;1;
20.0;35121;P1;3;A99;Autobahnring München;München-Fröttmaning Nord;;;01956;07240;12978;12979;35415,35121;48,2254;11,61805;0;0;1;1;0;1;1;
20.0;7241;L3;0;A99;Autobahnring München;München-Nord;München-Süd;;00294;50183;07240;;;;;;;;;;;;
20.0;12979;P1;1;A99;Autobahnring München;München-Nord;;;01956;07241;35121;12980;12726,12979;48,221025482738455;11,629285284677247;0;1;1;1;1;1;1;
20.0;12980;P1;3;A99;Autobahnring München;Aschheim/Ismaning;;;00804;07241;12979;60819;28028,12980;48,192963377160275;11,693885228068423;0;1;1;1;1;1;1;
20.0;60819;P3;8;A99;Autobahnring München;Aschheim;;;00804;07241;12980;12981;;48,1799430219703;11,726981197536157;0;1;1;1;1;1;1;
20.0;12981;P1;3;A99;Autobahnring München;Kirchheim bei München;;;31943;07241;60819;12983;12981,46919;48,1688;11,7392;0;1;1;1;1;1;1;
20.0;12983;P1;1;A99;Autobahnring München;München-Ost;;;02581;07241;12981;12984;12903,12983;48,1427;11,7578;0;1;1;1;1;1;1;
20.0;12984;P3;3;A99;Autobahnring München;Vaterstetten;;;02581;07241;12983;12985;;48,12325;11,7586;0;1;1;1;1;1;1;
20.0;12985;P1;3;A99;Autobahnring München;Haar;;;01374;07241;12984;08137;12985,22872;48,1025;11,7525;0;1;1;1;1;1;1;
        return records;
