LocCode;RouteNumber;Name;ShortName
10789;A3;Suben;Sub
10790;A3;Pocking;Poc
10791;A3;Passau-Süd;PasS
10792;A3;Passau-Mitte;PasM
10793;A3;Donautal;Don
10794;A3;Passau-Nord;PasN
10795;A3;Aicha vorm Wald;AicW
10796;A3;Garham/Vilshofen;GarV
10797;A3;Iggensbach;Igg
10798;A3;Hengersberg;Hen
10799;A3;Deggendorf;Deg
10800;A3;Metten;Met
10801;A3;Schwarzach;Sch4
10802;A3;Bogen;Bog
10803;A3;Bayerischer Wald;BayW
10804;A3;Straubing;Str
10805;A3;Kirchroth;Kir
10806;A3;Wörth an der Donau-Ost;WoeO
10807;A3;Wörth an der Donau/Wiesent;WoeW
10808;A3;Rosenhof;Ros
10810;A3;Neutraubling;Neu1
10811;A3;Regensburg-Ost;RegO
10813;A3;Regensburg-Burgweinting;RegB
10814;A3;Regensburg;Reg
10815;A3;Sinzing;Sin
10816;A3;Nittendorf;Nit
10817;A3;Laaber;Laa
10818;A3;Beratzhausen;Ber
10819;A3;Parsberg;Par
10820;A3;Velburg;Vel
10821;A3;Jura;Jur
10822;A3;Neumarkt/Oberpfalz;NeuO1
10823;A3;Oberölsbach;Obe1
10824;A3;Altdorf/Burgthann;AltB
10825;A3;Altdorf;Alt
10826;A3;Nürnberg;Nue
10827;A3;Nürnberg-Mögeldorf;NueM
10828;A3;Nürnberg/Behringersdorf;NueB
10829;A3;Nürnberg-Nord;NueN
10830;A3;Erlangen-Tennenlohe;ErlT
10831;A3;Fürth/Erlangen;FueE
10832;A3;Erlangen-Frauenaurach;ErlF
10833;A3;Aurach;Aur
10834;A3;Erlangen-West;ErlW
10835;A3;Höchstadt-Ost;HoeO
10836;A3;Pommersfelden;Pom
10837;A3;Höchstadt-Nord;HoeN
10838;A3;Steigerwald;Ste2
10839;A3;Schlüsselfeld;Sch3
10840;A3;Geiselwind;Gei1
10841;A3;Wiesentheid;Wie1
10842;A3;Haidt;Hai1
10843;A3;Kitzingen/Schwarzach;KitS
10844;A3;Biebelried;Bie
10845;A3;Rottendorf;Rot
10846;A3;Würzburg/Randersacker;WueR
