TYPE	NAME	MATCHLEVEL	DE	PROGRAM	TEXT
					
RULE	Rule-S-01	1			
STRATEGY	S-01				
REQUIREMENT	S-01-WWK_9250003	1			
CONDITION	S-01-WWQ_92572b				
CONTENT			wzg.wzg92-572b-mch_w3_42.m.de	243	
CONTENT			wzg.wzg92-572b-mch_w4_43.m.de	242	
CONDITION	S-01-WWQ_92584				
CONTENT			wzg.wzg92-584-mch_w9_42.m.de	242	
CONDITION	S-01-WWQ_92586				
CONTENT			wzg.wzg92-586-mch_w9_42.m.de	242	
CONDITION	S-01-WWQ_92588				
CONTENT			wzg.wzg92-588-mch_w9_42.m.de	242	
CONDITION	S-01-WWQ_92_AK_Neuf_1174_UM				
CONTENT			wzg.wzg_92_akneuf_1174_um_w3_36.m.de	242	
CONDITION	S-01-WWQ_92_AK_Neuf_1454_UM				
CONTENT			wzg.wzg_92_akneuf_1454_um_w3_36.m.de	242	
					
RULE	Rule-S-02	1			
STRATEGY	S-02				
REQUIREMENT	S-02-WWK_9250003	1			
CONDITION	S-02-WWQ_92572a				
CONTENT			wzg.wzg92-572a-mch_w4_36.m.de	241	
CONTENT			wzg.wzg92-572a-mch_w5_37.m.de	242	
CONDITION	S-02-WWQ_92584				
CONTENT			wzg.wzg92-584-mch_w4_37.m.de	242	
CONDITION	S-02-WWQ_92586				
CONTENT			wzg.wzg92-586-mch_w4_37.m.de	242	
CONDITION	S-02-WWQ_92588				
CONTENT			wzg.wzg92-588-mch_w4_37.m.de	242	
					
RULE	Rule-S-03	1			
STRATEGY	S-03				
REQUIREMENT	S-03-WWK_9950100	1			
CONDITION	S-03-WWQ_99025				
CONTENT			wzg.wzg99-025-sbg_w1_34.m.de	242	
CONDITION	S-03-WWQ_99028				
CONTENT			wzg.wzg99-028-sbg_w1_34.m.de	242	
					
RULE	Rule-S-04	1			
STRATEGY	S-04				
REQUIREMENT	S-04-WWK_9250004	1			
CONDITION	S-04-WWQ_92684				
CONTENT			wzg.wzg92-684-mch_w3_4.m.de	242	
CONTENT			wzg.wzg92-684-mch_w3_4.m.de	243	
CONDITION	S-04-WWQ_92686				
CONTENT			wzg.wzg92-686-mch_w3_4.m.de	242	
CONTENT			wzg.wzg92-686-mch_w3_4.m.de	243	
CONDITION	S-04-WWQ_92696				
CONTENT			wzg.wzg92-696-mch_w3_4.m.de	242	
CONTENT			wzg.wzg92-696-mch_w3_4.m.de	243	
					
RULE	Rule-S-05	1			
STRATEGY	S-05				
REQUIREMENT	S-05-WWK_950101	1			
CONDITION	S-05-WWQ_9125				
