Gevas;Ascii;Darstellung
 ;32; 
!;33;!
(;40;(
);41;)
+;43;+
,;44;,
-;45;-
.;46;.
/;47;/
0;48;0
1;49;1
2;50;2
3;51;3
4;52;4
5;53;5
6;54;6
7;55;7
8;56;8
9;57;9
?;63;?
A;65;A
B;66;B
C;67;C
D;68;D
E;69;E
F;70;F
G;71;G
H;72;H
I;73;I
J;74;J
K;75;K
L;76;L
M;77;M
N;78;N
O;79;O
P;80;P
Q;81;Q
R;82;R
S;83;S
T;84;T
U;85;U
V;86;V
W;87;W
X;88;X
Y;89;Y
Z;90;Z
^;94;|
a;97;a
b;98;b
c;99;c
d;100;d
e;101;e
f;102;f
g;103;g
h;104;h
i;105;i
j;106;j
k;107;k
l;108;l
m;109;m
n;110;n
o;111;o
p;112;p
q;113;q
r;114;r
s;115;s
t;116;t
u;117;u
v;118;v
w;119;w
x;120;x
y;121;y
z;122;z
ü;129;ü
ä;132;ä
Ä;142;Ä
ö;148;ö
Ö;153;Ö
Ü;154;Ü
°;185;1
²;186;2
³;187;3
$;188;4
_;189;5
&;190;6
*;191;7
µ;192;8
|;193;9
=;194;0
~;195;a
§;196;b
@;197;c
€;198;d
ß;225;ß
<;60;[
>;62;]
[;91;[
];93;]
´;199;[
`;200;]
{;123;{
};125;}
