Q-6257-14-193-4		A57_11
Q-11784-13-193-4	A57_11_1
Q-11784-18-193-4	A57_11_2
Q-6257-28-193-4		A57_12
Q-11784-29-193-4	A57_12_1
Q-11784-34-193-4	A57_12_2
Q-11784-35-194-4	A57_40_1
Q-11784-32-194-4	A57_40_2
Q-6257-28-194-4		A57_41
Q-11784-25-194-4	A57_41_1
Q-11784-17-194-4	A57_41_2
Q-6257-14-194-4		A57_42
Q-11784-9-194-4		A57_42_1
Q-11784-5-194-4		A57_42_2
Q-6256-21-194-4		A57_43
Q-11785-20-194-4	A57_43_1
Q-11785-16-194-4	A57_43_2
Q-11785-9-194-4		A57_44
Q-11785-7-194-4		A57_44_1
Q-11785-1-194-4		A57_44a
Q-6253-27-194-4		A57_45
Q-6253-21-194-4		A57_45a
Q-6253-21-193-4		A57_8
Q-11785-4-193-4		A57_8_1
Q-11785-9-193-4		A57_8_2
Q-6256-9-193-4		A57_9
Q-11785-17-193-4	A57_9_1
Q-11785-21-193-4	A57_9_2
