NewId;OldId;DE;LOD;DIST;KontenNr
wzg.dlz_99_3434_sbg_dlz3_7.m.de;;7;38735;112;9916272
aq.aqaq118-pas.m.de;;0;36743;34;9406242
wzg.wzg8-120-mch_bl1_33.m.de;AQ8O_120_Mch_33;33;3149;218;806362
wzg.cluster_aqq229_sbg_h_193.m.de;;193;3160;180;809140
wzg.aqb23_mch_a4_36.m.de;;36;3192;39;817191
wzg.wzg99-190-sbg_a1_33.m.de;;33;38705;92;9908572
wzg.wzg_8_12300_mch_wta3_4.m.de;;4;3150;15;806415
wzg.aqq265_sbg_a1_1.m.de;;1;3163;2;809730
aq.aq_96_140336_lin.m.de;;0;37575;46;9619246
wzg.wzg_99_9800_sbg_bl2_l_166.m.de;;166;38698;36;9906724
wzg.hs_96_140335_lin_hs1_162.m.de;;162;37575;46;9619246
wzg.wzg99-635-stg_w19_20.m.de;AQ99-635-Stg_20;20;38745;213;9918933
wzg.wzgwwq201-mch_wta4_229.m.de;WWQ94_201_Mch_229;229;36781;224;9416160
wzg.wzg9-240-nbg_c2_74.m.de;WZG_AQ9_240_Nbg_74;74;35278;119;9031287
wzg.wzg9-210-nbg_c3_75.m.de;WZG_AQ9_210_Nbg_75;75;35278;174;9031342
wzg.wzg_96_145861_mch_b1_65.m.de;;65;37575;172;9619372
wzg.wzg_99a_104045_mch_bl1_r_165.m.de;;165;38734;18;9915922
wzg.aq_a7_957_493_fue_b2_164.m.de;;164;2772;179;709811
wzg.wzg_96_161787_mch_pw8_8.m.de;;8;37524;215;9606359
wzg.wzg_9_483200_nbg_b3_67.m.de;WZG_AQ_9_483200_Nbg_67;67;3545;198;907718
aq.aq_96_140495_lin.m.de;;0;37575;49;9619249
wzg.wzg_b2n_008364_gap_dlz2_gv_18.m.de;;18;809;181;207285
wzg.cluster_aq_a7_959_720_ulm_194.m.de;;194;2772;237;709869
wzg.wzg99-880-stg_cl1_193.m.de;;193;38699;77;9907021
wzg.wzg_b17_800_0350_lbg_b2_98.m.de;;98;6665;119;1706359
wzg.aqb27_mch_a4_36.m.de;;36;3191;236;817132
wzg.wzg99-710-stg_dlz1_24.m.de;;24;38745;4;9918724
wzg.wzg_95_1990_mch_pw7_7.m.de;;7;37133;32;9506080
aq.aq9-789-mch.m.de;;0;35670;16;9131536
wzg.wzg_96_160972_lin_b1_97.m.de;;97;37577;11;9619723
wzg.cluster_aq_96_145758_lin_195.m.de;;195;37575;168;9619368
aq.aq_b2n_008300_mch.m.de;;0;848;205;217293
aq.aqq245_sbg_h.m.de;;0;3161;157;809373
