ID;TYPE;ROADNR;FR;KM;LAT;LON;BEARING
AQ_A009B365.4_1;AQ;A9;N;365.425;49.513285735;11.301784021;329
AQ_A009B366.7_1;AQ;A9;N;366.670;49.504292144;11.291608106;320
AQ_A009B368.8_1;AQ;A9;N;368.780;49.48851099;11.275369072;331
AQ_A009B370.8_1;AQ;A9;N;370.815;49.473445344;11.259745819;321
AQ_A009B372.6_1;AQ;A9;N;372.565;49.460502392;11.245898544;331
AQ_A009B372.6_3;AQ;A9;N;372.565;49.460502392;11.245898544;331
AQ_A009B372.6_4;AQ;A9;N;372.565;49.460133979;11.246638206;14
AQ_A009B373.8_1;AQ;A9;N;373.830;49.450898467;11.237419981;326
AQ_A009A361.5_33;AQ;A9;S;361.499;49.547470823;11.321033798;171
AQ_A009A362.6_33;AQ;A9;S;362.603;49.541517353;11.319401148;171
AQ_A009A363.7_33;AQ;A9;S;363.704;49.526218853;11.314058537;159
AQ_A009A364.9_33;AQ;A9;S;364.886;49.517293867;11.305340734;149
AQ_A009A366.2_33;AQ;A9;S;366.171;49.507728267;11.295336642;147
AQ_A009A367.6_33;AQ;A9;S;367.591;49.497724751;11.283197616;151
AQ_A009A368.6_33;AQ;A9;S;368.577;49.490125036;11.276288528;151
AQ_A009A370.2_33;AQ;A9;S;370.202;49.477680327;11.264502508;144
AQ_A009A371.5_33;AQ;A9;S;371.524;49.468466355;11.252805316;147
AQ_A009A373.3_33;AQ;A9;S;373.262;49.455370006;11.23991622;136
AQ_A009A374.7_33;AQ;A9;S;374.716;49.444078308;11.229832129;146
AQ_A009B375.0_1;AQ;A9;N;374.984;49.442129126;11.228367554;327
AQ_A009B375.0_3;AQ;A9;N;374.984;49.442129126;11.228367554;327
AQ_A009B376.1_1;AQ;A9;N;376.112;49.434153773;11.219350727;325
AQ_A009A376.2_33;AQ;A9;S;376.244;49.432964296;11.217452638;145
AQ_A009B377.4_1;AQ;A9;N;377.432;49.424570395;11.208706774;328
AQ_A009A377.8_33;AQ;A9;S;377.839;49.421245232;11.20475601;149
AQ_A009A378.9_33;AQ;A9;S;378.893;49.413158777;11.197135512;160
AQ_A009A380.0_33;AQ;A9;S;380.009;49.403240927;11.195790643;194
AQ_A009B379.2_1;AQ;A9;N;379.235;49.410690109;11.196376257;347
AQ_A009B380.4_1;AQ;A9;N;380.485;49.399752108;11.198031429;20
AQ_A009A381.6_33;AQ;A9;S;381.640;49.389197344;11.201862598;183
AQ_A009A383.1_33;AQ;A9;S;383.060;49.376445961;11.200292642;186
AQ_A009A384.6_33;AQ;A9;S;384.590;49.36280596;11.202000169;187
AQ_A009A386.0_33;AQ;A9;S;386.002;49.350158726;11.203466038;182
