AB_EAID4Vergleich	BAB	FAHRTRICHTUNG	BABKM	TYP	ID	NAME	LOC	DIST	FG	DE	PORT	SLAVE	EAK	EA	KOMMENTAR	TLSTYP	EAID	HERSTELLER	IFACEKEY	MAKRO	FAHRSTREIFEN	WZGTYP	LATITUDE	LONGITUDE	AB_ID	AB_4ID	AB_ROUTE	AB_ANZEIGEPRINZIP	AB_STEUERUNG	AB_ZS	AB_FAHRTRICHTUNG	AB_TLSTYP	AB_FAHRBAHNBREITE	AB_AQTYP	AB_ASPICT	AB_ASFLIP	AB_ENDE	Quelldatei	Tabellenblatt	Status	CSV-Filter	a	b	c	d	e	f	g	h	i	j	k	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
																																												FS-Bezug	FS-Bezug	WVZ-Typ	Anschluss-Nr.		Beschriftung    für BuV Oberfläche	Fa.-Ri    (N,S,O,W)	WGS 84 (rechter FB-Rand)						Logische Adressen			Physikalische Adresse							
				VRZ	VRZ_BY	VRZ	1000	0			0	0	0																													Prinzip	Steuerung	lfd-nr reduziert	lfd-nr						Rechts	Hoch			Eigenschaft		Knotennummer			Inselbus		Lokalbus	EAK				
				UZ	UZ_BY	UZ	1000	1			201	1																														Anzeige		4FS-bezug	vollständig		Typ	Hers.					BAB	BAB-km		Bezeichner	Dezimal	FG	DE-Kanal	Port	Slave	Slave	Kanal	Bemerkung	WVZ-Vorrat	Grundstell-Code	AKZ-Code
				KRI2	KRI2 SBA A9 Freimann	SBA A9 Freimann	1000	207			207	1													KRI2 SBA A9 Freimann																																										
	A9	N	530,000			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	530000	StartKm												
	A9	N	1,200			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg	1200	EndeKm												
	A9	S	477,500			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Nbg-Mch	477500	StartKm												
	A9	S	530,000			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Nbg-Mch	530000	EndeKm												
	A92	N	530,000			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Mch-Deg	0	StartKm												
	A92	N	28,000			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Mch-Deg	28000	EndeKm												
	A92	S	28,000			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Deg-Mch	28000	StartKm												
	A92	S	28,000			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Deg-Mch	0	EndeKm												
	A99	N	10,000			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Stg-Sbg	10000	StartKm												
	A99	N	53,000			0	1000	207	FEHLER	FALSCH	207	1						6													N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Stg-Sbg	53000	EndeKm												
	A99	S	54,000			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Sbg-Stg	54000	StartKm												
	A99	S	12,000			0	1000	207	FEHLER	FALSCH	207	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Sbg-Stg	12000	EndeKm												
	A9	N	12,000		LangBez	LangBez	1000	207										6							LangBez						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Mch-Nbg			LangBez											
	A9	S	12,000		LangBez	LangBez	1000	207										6							LangBez						S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Nbg-Mch			LangBez											
	A92	N	12,000		LangBez	LangBez	1000	207										6							LangBez						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Mch-Deg			LangBez											
	A92	S	12,000		LangBez	LangBez	1000	207										6							LangBez						S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A92-Deg-Mch			LangBez											
	A99	N	12,000		LangBez	LangBez	1000	207										6							LangBez						N/O							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Stg-Sbg			LangBez											
	A99	S	12,000		LangBez	LangBez	1000	207										6							LangBez						S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A99-Sbg-Stg			LangBez											
598452994048	A9	S	527,481		SST9_850	SST9-850	35670	148			214	1						6													S/W							Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Nbg-Mch	527481	SST	SST9-850	9131668,8B5694			214	1						
598452995265	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	193	214	1	33	0				6					NV	NV	AQ9_850_Mch_193	193					S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls										6					A9-Nbg-Mch	527481	AQx	AQ9-850-Mch							0				
598452995105	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	33	214	1	33	1				6		CD	12	WTA			AQ9_850_Mch_193			d	3	,0	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				d	3	WTA1	WTA1	WTA		6							WZGx	WZG9-850-Mch_WTA1		4	33			33	1		,0		
598452995106	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	34	214	1	33	2				6		CD	12	WTA			AQ9_850_Mch_193			d	3	,0	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				d	3	WTA2	WTA2	WTA		6							WZGx	WZG9-850-Mch_WTA2		4	34			33	2		,0		
598452995107	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	35	214	1	33	3				6		AB	10	BL			AQ9_850_Mch_193			b	2	61	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	BL1	BL1	BL		6							WZGx	WZG9-850-Mch_BL1		4	35			33	3		61		
598452995108	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	36	214	1	33	4				6		AB	21	WWW			AQ9_850_Mch_193			a	2	241,242,243	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				a	2	W1	W1	WWW		6							WZGx	WZG9-850-Mch_W1		4	36			33	4		241,242,243		
598452995109	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	37	214	1	33	5				6		AB	21	WWW			AQ9_850_Mch_193			a	2	241,242,243	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				a	2	W2	W2	WWW		6							WZGx	WZG9-850-Mch_W2		4	37			33	5		241,242,243		
598452995110	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	38	214	1	33	6				6		AB	21	WWW			AQ9_850_Mch_193			a	2	241,242,243	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				a	2	W3	W3	WWW		6							WZGx	WZG9-850-Mch_W3		4	38			33	6		241,242,243		
598452995111	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	39	214	1	33	7				6		AB	21	WWW			AQ9_850_Mch_193			a	2	241,242,243	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				a	2	W4	W4	WWW		6							WZGx	WZG9-850-Mch_W4		4	39			33	7		241,242,243		
598452995171	A9	S	527,481		AQ9_850_Mch	AQ9-850-Mch	35670	148	4	99	214	1	33	99				6		AB	20	B			AQ9_850_Mch_193			b	2	1,2,3,4,5,6,7,8,9	S/W	193		AQTYP?				Cp_A9Sued_DeKonfig_2016-01-22.xls				b	2	CL1	CL1	B		6							WZGx	WZG9-850-Mch_CL1		4	99			33	99		1,2,3,4,5,6,7,8,9		
