VERSIONNR;LOCATIONCODE;TYPE;SUBTYPE;ROADNUMBER;ROADNAME;FIRST_NAME;SECOND_NAME;ADMIN_AREA;AREA_REFERENCE;LINEAR_REFERENCE;NEGATIVE_OFFSET;POSITIVE_OFFSET;INTERSECTIONCODE;LATITUDE;LONGITUDE;URBAN;IN_POSITIVE;OUT_POSITIVE;IN_NEGATIVE;OUT_NEGATIVE;PRESENT_POSITIVE;PRESENT_NEGATIVE
20.0;34196;A1;0;;;Europa;;;;;;;;;;;;;;;;;
20.0;9;A3;0;;;Österreich;;;34196;;;;;;;;;;;;;;
20.0;11;A3;0;;;Italien;;;34196;;;;;;;;;;;;;;
20.0;13;A3;0;;;Dänemark;;;34196;;;;;;;;;;;;;;
20.0;5;A3;0;;;Luxemburg;;;34196;;;;;;;;;;;;;;
20.0;3;A3;0;;;Belgien;;;34196;;;;;;;;;;;;;;
20.0;8;A3;0;;;Polen;;;34196;;;;;;;;;;;;;;
20.0;4;A3;0;;;Niederlande;;;34196;;;;;;;;;;;;;;
20.0;2;A3;0;;;Frankreich;;;34196;;;;;;;;;;;;;;
20.0;7;A3;0;;;Tschechien;;;34196;;;;;;;;;;;;;;
20.0;1;A3;0;;;Deutschland;;;34196;;;;;;;;;;;;;;
20.0;264;A7;0;;;Bayern;;;00001;;;;;;;;;;;;;;
20.0;296;A8;0;;;Oberpfalz;;;00264;;;;;;;;;;;;;;
20.0;651;A9;1;;;Schwandorf;;;00296;;;;;;;;;;;;;;
20.0;7512;A10;0;;;Wackersdorf;;;00651;;;;;;;;;;;;;;
20.0;32200;A10;0;;;Neukirchen-Balbini;;;00651;;;;;;;;;;;;;;
20.0;4431;A10;0;;;Nittenau;;;00651;;;;;;;;;;;;;;
20.0;4555;A10;0;;;Schwarzenfeld;;;00651;;;;;;;;;;;;;;
20.0;4463;A10;0;;;Pfreimd;;;00651;;;;;;;;;;;;;;
20.0;32151;A10;0;;;Schmidgaden;;;00651;;;;;;;;;;;;;;
20.0;2070;A10;0;;;Oberviechtach;;;00651;;;;;;;;;;;;;;
20.0;2525;A10;0;;;Teunz;;;00651;;;;;;;;;;;;;;
20.0;2369;A10;0;;;Schwandorf;;;00651;;;;;;;;;;;;;;
20.0;15546;P6;12;;Schwimmbadstraße;Sepp-Simon-Stadion (Oberpfalzhalle);;;02369;;;;;49,3184;12,12975;1;0;0;0;0;0;0;
20.0;2677;A10;0;;;Wernberg-Köblitz;;;00651;;;;;;;;;;;;;;
20.0;61077;P5;8;;A93 Regensburg-Weiden;Wernberg-Köblitz;;;02677;;;;;49,533;12,13505;1;0;0;0;0;0;0;
20.0;31717;A10;0;;;Maxhütte-Haidhof;;;00651;;;;;;;;;;;;;;
20.0;31589;A10;0;;;Steinberg am See;;;00651;;;;;;;;;;;;;;
20.0;2862;A10;0;;;Bruck i.d. OPf.;;;00651;;;;;;;;;;;;;;
20.0;31718;A10;0;;;Nabburg;;;00651;;;;;;;;;;;;;;
20.0;2719;A10;0;;;Winklarn;;;00651;;;;;;;;;;;;;;
20.0;60927;A10;0;;;Trausnitz;;;00651;;;;;;;;;;;;;;
20.0;2524;A10;0;;;Teublitz;;;00651;;;;;;;;;;;;;;
20.0;31733;A10;0;;;Schönsee;;;00651;;;;;;;;;;;;;;
20.0;1027;A10;0;;;Burglengenfeld;;;00651;;;;;;;;;;;;;;
20.0;5311;A10;0;;;Neunburg vorm Wald;;;00651;;;;;;;;;;;;;;
20.0;2446;A9;2;;;Amberg;;;00296;;;;;;;;;;;;;;
20.0;679;A9;1;;;Tirschenreuth;;;00296;;;;;;;;;;;;;;
20.0;2535;A10;0;;;Tirschenreuth;;;00679;;;;;;;;;;;;;;
20.0;2698;A10;0;;;Wiesau;;;00679;;;;;;;;;;;;;;
20.0;32418;A10;0;;;Neualbenreuth;;;00679;;;;;;;;;;;;;;
20.0;31696;A10;0;;;Bärnau;;;00679;;;;;;;;;;;;;;
20.0;32419;A10;0;;;Immenreuth;;;00679;;;;;;;;;;;;;;
20.0;1925;A10;0;;;Mitterteich;;;00679;;;;;;;;;;;;;;
20.0;61076;P5;8;;A93 Hof-Weiden;Mitterteich-Süd;;;01925;;;;;49,93745;12,2276;1;0;0;0;0;0;0;
20.0;31591;A10;0;;;Kulmain;;;00679;;;;;;;;;;;;;;
