TYPE	ID	NAME	AREA	MAINROUTE	ALTERNATEROUTE	WWW	SRID	X	Y
ROUTE	S-01-A	S-01-A					4326	48.3255740	11.6405441
ROUTE+							4326	48.2093953	11.6233125
STRATEGIE	S-01	Arena via A9	548	S-01-A		WWK_9250003			

ROUTE	S-02-M	S-02-M					4326	48.3255740	11.6405441
ROUTE+							4326	48.2093953	11.6233125
ROUTE	S-02-A	S-02-A					4326	48.3255740	11.6405441
ROUTE+							4326	48.3139428	11.6156874
ROUTE+							4326	48.3020743	11.5910762
ROUTE+							4326	48.2901537	11.5665308
ROUTE+							4326	48.2753853	11.5459479
ROUTE+							4326	48.2570222	11.5334954
ROUTE+							4326	48.2374446	11.5379261
ROUTE+							4326	48.2260888	11.5420767
ROUTE+							4326	48.2272787	11.5723299
ROUTE+							4326	48.2283159	11.6024834
ROUTE+							4326	48.2261482	11.6141048
ROUTE+							4326	48.2241046	11.6192296
ROUTE+							4326	48.2220904	11.6244541
ROUTE+							4326	48.2187300	11.6268700
STRATEGIE	S-02	Arena via A92	548	S-02-M	S-02-A	WWK_9250003			

ROUTE	S-03-A	S-03-A					4326	48.2200420	11.5136990
ROUTE+							4326	48.2187300	11.6268700
STRATEGIE	S-03	Arena via A99	548	S-03-A		WWK_9950100			

ROUTE	S-04-A	S-04-A					4326	48.2349609	11.5398841
ROUTE+							4326	48.2275843	11.5418283
ROUTE+							4326	48.2258749	11.5393928
ROUTE+							4326	48.2265775	11.5510481
ROUTE+							4326	48.2268116	11.5627508
ROUTE+							4326	48.2274378	11.5744166
ROUTE+							4326	48.2284707	11.5860222
ROUTE+							4326	48.2286363	11.5977073
ROUTE+							4326	48.2273782	11.6092391
ROUTE+							4326	48.2240152	11.6196279
ROUTE+							4326	48.2224389	11.6236475
ROUTE+							4326	48.2215354	11.6255560
ROUTE+							4326	48.2202668	11.6268451
ROUTE+							4326	48.2187300	11.6268700
STRATEGIE	S-04	Arena via A99 Nord	548	S-04-A		WWK_9250004			

ROUTE	S-05-M	S-05-M					4326	48.2118600	11.6247700
ROUTE+							4326	48.2236461	11.6306759
ROUTE+							4326	48.2354282	11.6366011
ROUTE+							4326	48.2472138	11.6425119
ROUTE+							4326	48.2591677	11.6473464
ROUTE+							4326	48.2713799	11.6441731
ROUTE+							4326	48.2834585	11.6398041
ROUTE+							4326	48.2951992	11.6336963
ROUTE+							4326	48.3067837	11.6269464
ROUTE+							4326	48.3182716	11.6254897
ROUTE+							4326	48.3212302	11.6314791
ROUTE+							4326	48.3226766	11.6345104
ROUTE+							4326	48.3241463	11.6375165
ROUTE+							4326	48.3254541	11.6406840
ROUTE	S-05-A	S-05-A					4326	48.2118600	11.6247700
ROUTE+							4326	48.2251914	11.6191287
ROUTE+							4326	48.2288515	11.5895754
ROUTE+							4326	48.2268863	11.5593715
ROUTE+							4326	48.2371216	11.5384623
ROUTE+							4326	48.2567094	11.5337297
ROUTE+							4326	48.2751593	11.5460033
ROUTE+							4326	48.2899971	11.5665363
ROUTE+							4326	48.3019296	11.5911293
ROUTE+							4326	48.3138183	11.6157763
ROUTE+							4326	48.3185667	11.6256443
ROUTE+							4326	48.3209449	11.6305743
ROUTE+							4326	48.3233005	11.6355284
ROUTE+							4326	48.3254541	11.6406840
STRATEGIE	S-05	Deggendorf via A99 / A92, Flughafen via A99 / A92	548	S-05-M	S-05-A	WWK_950101			

ROUTE	S-06-M	S-06-M					4326	48.2098300	11.6476900
ROUTE+							4326	48.2193947	11.6340369
ROUTE+							4326	48.2320343	11.6349053
ROUTE+							4326	48.2445838	11.6411837
ROUTE+							4326	48.2572031	11.6470834
ROUTE+							4326	48.2702368	11.6445528
ROUTE+							4326	48.2831065	11.6399674
ROUTE+							4326	48.2956065	11.6334721
ROUTE+							4326	48.3079321	11.6262602
ROUTE+							4326	48.3195089	11.6279186
ROUTE+							4326	48.3226049	11.6343548
ROUTE+							4326	48.3241666	11.6375579
ROUTE+							4326	48.3255520	11.6409365
ROUTE+							4326	48.3268178	11.6444209
ROUTE	S-06-A	S-06-A					4326	48.2098300	11.6476900
ROUTE+							4326	48.2234959	11.6239732
ROUTE+							4326	48.2289207	11.5939632
ROUTE+							4326	48.2269528	11.5626811
ROUTE+							4326	48.2358044	11.5395062
ROUTE+							4326	48.2559555	11.5335112
ROUTE+							4326	48.2751204	11.5459649
ROUTE+							4326	48.2904011	11.5673473
ROUTE+							4326	48.3027481	11.5928267
ROUTE+							4326	48.3150583	11.6183528
ROUTE+							4326	48.3199753	11.6285725
ROUTE+							4326	48.3224363	11.6336799
ROUTE+							4326	48.3247598	11.6389283
ROUTE+							4326	48.3268178	11.6444209
STRATEGIE	S-06	Flughafen / Deggendorf via A99 / A92	548	S-06-M	S-06-A	WWK_9950109			

ROUTE	S-07-M	S-07-M					4326	48.2571800	11.6470800
ROUTE+							4326	48.2693941	11.6448328
ROUTE+							4326	48.2814703	11.6406712
ROUTE+							4326	48.2932125	11.6347573
ROUTE+							4326	48.3047840	11.6281165
ROUTE+							4326	48.3164717	11.6236668
ROUTE+							4326	48.3243030	11.6378352
ROUTE+							4326	48.3296842	11.6545273
ROUTE+							4326	48.3324110	11.6726127
ROUTE+							4326	48.3329478	11.6911719
ROUTE+							4326	48.3338291	11.6984705
ROUTE+							4326	48.3347268	11.7019299
ROUTE+							4326	48.3359317	11.7051694
ROUTE+							4326	48.3374000	11.7081600
ROUTE	S-07-A	S-07-A					4326	48.2571800	11.6470800
ROUTE+							4326	48.3374000	11.7081600
STRATEGIE	S-07	Flughafen via B11	548	S-07-M	S-07-A	WWK_950103			

ROUTE	S-08-M	S-08-M					4326	48.2281900	11.6037900
ROUTE+							4326	48.2187300	11.6268700
ROUTE	S-08-A	S-08-A					4326	48.2281900	11.6037900
ROUTE+							4326	48.2093953	11.6233125
STRATEGIE	S-08	Arena via Fröttmaning Süd	548	S-08-M	S-08-A	WWK_9950112			

ROUTE	S-10a	S-10a					4326	48.2334700	11.6353200
ROUTE+							4326	48.2201323	11.6327986
ROUTE+							4326	48.2098388	11.6471368
ROUTE+							4326	48.2012033	11.6639603
ROUTE+							4326	48.1951828	11.6832110
ROUTE+							4326	48.1907230	11.7034160
ROUTE+							4326	48.1834047	11.7215348
ROUTE+							4326	48.1725105	11.7350988
ROUTE+							4326	48.1603674	11.7298471
ROUTE+							4326	48.1534285	11.7112822
ROUTE+							4326	48.1486904	11.7071221
ROUTE+							4326	48.1458742	11.7076175
ROUTE+							4326	48.1430856	11.7082621
ROUTE+							4326	48.1409000	11.7109500
STRATEGIE	S-10a	A99 Nord via Kirchheim		S-10a		WWK_9950106			

ROUTE	S-11a	S-11a					4326	48.1425900	11.7672800
ROUTE+							4326	48.1426134	11.7086423
STRATEGIE	S-11a	A94 Ost - Feldkirchen West Freigelände		S-11a		WWK_9450100			

ROUTE	S-11b	S-11b					4326	48.1425900	11.7672800
ROUTE+							4326	48.1412727	11.6925802
ROUTE+							4326	48.1423260	11.6904348
ROUTE+							4326	48.1419837	11.6938788
ROUTE+							4326	48.1410231	11.6950840
ROUTE+							4326	48.1404941	11.6943984
ROUTE+							4326	48.1402100	11.6925800
STRATEGIE	S-11b	A94 Ost - Riem Parkhaus West		S-11b		WWK_9450100			

ROUTE	S-11c	S-11c					4326	48.1425900	11.7672800
ROUTE+							4326	48.1429058	11.7536646
ROUTE+							4326	48.1431034	11.7400444
ROUTE+							4326	48.13825	11.68372
ROUTE+							4326	48.13914677266968	11.673347549682065
ROUTE+							4326	48.137195760021335	11.673055455884127
ROUTE+							4326	48.13993	11.69200
STRATEGIE	S-11c	A94 Ost - Am Moosfeld Parkhaus West 		S-11c		WWK_9450100			

ROUTE	S-12a	S-12a					4326	48.0119707	11.6667408
ROUTE+							4326	48.0297584	11.6644431
ROUTE+							4326	48.0437205	11.6839239
ROUTE+							4326	48.0590275	11.7009968
ROUTE+							4326	48.0708670	11.7237501
ROUTE+							4326	48.0860254	11.7415228
ROUTE+							4326	48.1036714	11.7531801
ROUTE+							4326	48.1225956	11.7588080
ROUTE+							4326	48.1418867	11.7584625
ROUTE+							4326	48.1430165	11.7363338
ROUTE+							4326	48.1426134	11.7086423
STRATEGIE	S-12a	A99 Süd - Feldkirchen West Freigelände		S-12a		WWK_850100			

ROUTE	S-12b	S-12b					4326	48.0119707	11.6667408
ROUTE+							4326	48.0310876	11.6671763
ROUTE+							4326	48.0477247	11.6870893
ROUTE+							4326	48.0629359	11.7092936
ROUTE+							4326	48.0775906	11.7328049
ROUTE+							4326	48.0961635	11.7490435
ROUTE+							4326	48.1169006	11.7577783
ROUTE+							4326	48.1430672	11.7381346
ROUTE+							4326	48.1422412	11.7059458
ROUTE+							4326	48.1414023	11.6931709
ROUTE+							4326	48.1412857	11.6873006
ROUTE+							4326	48.1423046	11.6932135
ROUTE+							4326	48.1402100	11.6925800
STRATEGIE	S-12b	A99 Süd - Riem Parkhaus West		S-12b		WWK_850100			

ROUTE	S-12c	S-12c					4326	48.0119707	11.6667408
ROUTE+							4326	48.0327770	11.6705946
ROUTE+							4326	48.0526026	11.6914578
ROUTE+							4326	48.0681876	11.7193411
ROUTE+							4326	48.0870067	11.7423406
ROUTE+							4326	48.1096835	11.7556595
ROUTE+							4326	48.1339349	11.7592599
ROUTE+							4326	48.1431064	11.7406145
ROUTE+							4326	48.1422794	11.7041717
ROUTE+							4326	48.13745	11.67953
ROUTE+							4326	48.13914677266968	11.673347549682065
ROUTE+							4326	48.137195760021335	11.673055455884127
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-12c	A99 Süd - Am Moosfeld Parkhaus West		S-12c		WWK_850100			

ROUTE	S-13a	S-13a					4326	48.2334700	11.6353200
ROUTE+							4326	48.2181281	11.6342530
ROUTE+							4326	48.2067611	11.6519698
ROUTE+							4326	48.1980882	11.6728165
ROUTE+							4326	48.1924406	11.6959101
ROUTE+							4326	48.1853453	11.7179698
ROUTE+							4326	48.1732458	11.7344896
ROUTE+							4326	48.1593141	11.7475829
ROUTE+							4326	48.1443422	11.7555776
ROUTE+							4326	48.1427874	11.7320586
ROUTE+							4326	48.1421395	11.7222676
ROUTE+							4326	48.1419622	11.7173571
ROUTE+							4326	48.1420050	11.7124387
ROUTE+							4326	48.1426134	11.7086423
STRATEGIE	S-13a	A99 Nord-Feldkirchen West Freigelände		S-13a		WWK_950106			

ROUTE	S-13b	S-13b					4326	48.2334700	11.6353200
ROUTE+							4326	48.2164534	11.6364948
ROUTE+							4326	48.2040181	11.6573597
ROUTE+							4326	48.1954381	11.6821728
ROUTE+							4326	48.1892418	11.7085797
ROUTE+							4326	48.1773865	11.7299556
ROUTE+							4326	48.1618014	11.7454515    
ROUTE+							4326	48.1447867	11.7561722
ROUTE+							4326	48.14247	11.72642
ROUTE+							4326	48.1419704	11.6938955
ROUTE+							4326	48.1402100	11.6925800
STRATEGIE	S-13b	A99 Nord-Riem Parkhaus West		S-13b		WWK_950106			

ROUTE	S-13c	S-13c					4326	48.2334700	11.6353200
ROUTE+							4326	48.14605	11.75618
ROUTE+							4326	48.13745	11.67953
ROUTE+							4326	48.13914677266968	11.673347549682065
ROUTE+							4326	48.137195760021335	11.673055455884127
ROUTE+							4326	48.13993	11.69200
STRATEGIE	S-13c	A99 Nord-Am Moosfeld Parkhaus West		S-13c		WWK_950106			

ROUTE	S-14a	S-14a					4326	48.1370622	11.6173902
ROUTE+							4326	48.13680	11.67195
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-14a	A94 West - Am Moosfeld Parkhaus West		S-14a		WWK_9404			

ROUTE	S-14b	S-14b					4326	48.1370622	11.6173902
ROUTE+							4326	48.13913	11.68858
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-14b	A94 West - Riem 1 Parkhaus West		S-14b		WWK_9404			

ROUTE	S-14c	S-14c					4326	48.1370622	11.6173902
ROUTE+							4326	48.14019	11.69183
STRATEGIE	S-14c	A94 West - Riem 2 Parkhaus West		S-14c		WWK_9404			

ROUTE	S-14d	S-14d					4326	48.1370622	11.6173902
ROUTE+							4326	48.1383529	11.6267473
ROUTE+							4326	48.1387182	11.6363931
ROUTE+							4326	48.1390721	11.6460400
ROUTE+							4326	48.1393072	11.6556939
ROUTE+							4326	48.1386576	11.6652889
ROUTE+							4326	48.1372301	11.6747044
ROUTE+							4326	48.1382087	11.6841142
ROUTE+							4326	48.1411641	11.6926822
ROUTE+							4326	48.1421500	11.7021819
ROUTE+							4326	48.1421021	11.7060451
ROUTE+							4326	48.1418041	11.7078810
ROUTE+							4326	48.1410711	11.7092999
ROUTE+							4326	48.1409000	11.7109500
STRATEGIE	S-14d	A94 West - Feldkirchen West Freigelände		S-14d		WWK_9404			

ROUTE	S-15a	S-15a					4326	48.2334700	11.6353200
ROUTE+							4326	48.2171985	11.6272143
ROUTE+							4326	48.2009440	11.6190346
ROUTE+							4326	48.1855451	11.6087107
ROUTE+							4326	48.1755557	11.5907272
ROUTE+							4326	48.1630507	11.5965496
ROUTE+							4326	48.1517370	11.6153001
ROUTE+							4326	48.1371300	11.6178041
ROUTE+							4326	48.1389628	11.6431087
ROUTE+							4326	48.1382018	11.6685826
ROUTE+							4326	48.1369006	11.6775829
ROUTE+							4326	48.1372773	11.6826607
ROUTE+							4326	48.1381727	11.6876033
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-15a	A9 - Mittlerer Ring Nord - Am Moosfeld Parkhaus West		S-15a		WWK_950106			

ROUTE	S-15b	S-15b					4326	48.2334700	11.6353200
ROUTE+							4326	48.2171999	11.6272149
ROUTE+							4326	48.2009468	11.6190359
ROUTE+							4326	48.1855478	11.6087158
ROUTE+							4326	48.1755499	11.5907271
ROUTE+							4326	48.1630570	11.5965442
ROUTE+							4326	48.1517448	11.6152938
ROUTE+							4326	48.1371280	11.6177891
ROUTE+							4326	48.1389622	11.6430912
ROUTE+							4326	48.1382045	11.6685633
ROUTE+							4326	48.1371903	11.6786207
ROUTE+							4326	48.1378326	11.6836316
ROUTE+							4326	48.1394215	11.6881700
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-15b	A9 - Mittlerer Ring Nord - Riem 1 Parkhaus West		S-15b		WWK_950106			

ROUTE	S-15c	S-15c					4326	48.2334700	11.6353200
ROUTE+							4326	48.2172380	11.6272340
ROUTE+							4326	48.2010231	11.6190733
ROUTE+							4326	48.1856240	11.6088553
ROUTE+							4326	48.1753894	11.5907223
ROUTE+							4326	48.1632315	11.5963960
ROUTE+							4326	48.1519409	11.6150894
ROUTE+							4326	48.1370607	11.6173816
ROUTE+							4326	48.1389447	11.6426122
ROUTE+							4326	48.1382776	11.6680348
ROUTE+							4326	48.1371574	11.6780592
ROUTE+							4326	48.1379305	11.6830077
ROUTE+							4326	48.1394116	11.6876045
ROUTE+							4326	48.14008	11.69198
STRATEGIE	S-15c	A9 - Mittlerer Ring Nord - Riem 2 Parkhaus West 		S-15c		WWK_950106			

ROUTE	S-15d	S-15d					4326	48.2334700	11.6353200
ROUTE+							4326	48.2159719	11.6266014
ROUTE+							4326	48.1984800	11.6178582
ROUTE+							4326	48.1839561	11.6034577
ROUTE+							4326	48.1735182	11.5970477
ROUTE+							4326	48.1581615	11.6027036
ROUTE+							4326	48.1441237	11.6155346
ROUTE+							4326	48.1385231	11.6310295
ROUTE+							4326	48.1392339	11.6585517
ROUTE+							4326	48.1386628	11.6853726
ROUTE+							4326	48.14171	11.69530
ROUTE+							4326	48.1421228	11.7008229
ROUTE+							4326	48.1420940	11.7063309
ROUTE+							4326	48.1409000	11.7109500
STRATEGIE	S-15d	A9 - Mittlerer Ring Nord - Feldkirchen West Freigelände		S-15d		WWK_950106			

ROUTE	S-16a	S-16a					4326	48.0119707	11.6667408
ROUTE+							4326	48.0294772	11.6565052
ROUTE+							4326	48.0473306	11.6475826
ROUTE+							4326	48.0639777	11.6348361
ROUTE+							4326	48.0798821	11.6198149
ROUTE+							4326	48.0982699	11.6141209
ROUTE+							4326	48.1165605	11.6183630
ROUTE+							4326	48.1337286	11.6162853
ROUTE+							4326	48.1387803	11.6380971
ROUTE+							4326	48.1385419	11.6661251
ROUTE+							4326	48.1369539	11.6760794
ROUTE+							4326	48.1371180	11.6816859
ROUTE+							4326	48.1380585	11.6871333
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-16a	A8 - Mittlerer Ring Sued - Am Moosfeld Parkhaus West		S-16a		WWK_850100			

ROUTE	S-16b	S-16b					4326	48.0119707	11.6667408
ROUTE+							4326	48.0294758	11.6565059
ROUTE+							4326	48.0473279	11.6475840
ROUTE+							4326	48.0639740	11.6348397
ROUTE+							4326	48.0798767	11.6198184
ROUTE+							4326	48.0982627	11.6141228
ROUTE+							4326	48.1165521	11.6183594
ROUTE+							4326	48.1337186	11.6162887
ROUTE+							4326	48.1387797	11.6380797
ROUTE+							4326	48.1385445	11.6661059
ROUTE+							4326	48.1371024	11.6771208
ROUTE+							4326	48.1376314	11.6826816
ROUTE+							4326	48.1392623	11.6877281
ROUTE+							4326	48.1399221	11.6920063
STRATEGIE	S-16b	A8 - Mittlerer Ring Sued - Riem 1 Parkhaus West		S-16b		WWK_850100			

ROUTE	S-16c	S-16c					4326	48.0119707	11.6667408
ROUTE+							4326	48.0294377	11.6565249
ROUTE+							4326	48.0472517	11.6476219
ROUTE+							4326	48.0638728	11.6349371
ROUTE+							4326	48.0797294	11.6199135
ROUTE+							4326	48.0980648	11.6141726
ROUTE+							4326	48.1163203	11.6182613
ROUTE+							4326	48.1334447	11.6163825
ROUTE+							4326	48.1387622	11.6376006
ROUTE+							4326	48.1386177	11.6655773
ROUTE+							4326	48.1371285	11.6765590
ROUTE+							4326	48.1377026	11.6820635
ROUTE+							4326	48.1392744	11.6871463
ROUTE+							4326	48.14008	11.69198
STRATEGIE	S-16c	A8 - Mittlerer Ring Sued - Riem 2 Parkhaus West		S-16c		WWK_850100			

ROUTE	S-16d	S-16d					4326	48.0119707	11.6667408
ROUTE+							4326	48.0307028	11.6558900
ROUTE+							4326	48.0497842	11.6463616
ROUTE+							4326	48.0672346	11.6316905
ROUTE+							4326	48.0848069	11.6175406
ROUTE+							4326	48.1046999	11.6139802
ROUTE+							4326	48.1240878	11.6207906
ROUTE+							4326	48.1381269	11.6235329
ROUTE+							4326	48.1392781	11.6535355
ROUTE+							4326	48.1379540	11.6831049
ROUTE+							4326	48.1414387	11.6938996
ROUTE+							4326	48.1420756	11.6998216
ROUTE+							4326	48.1421081	11.7058294
ROUTE+							4326	48.1409000	11.7109500
STRATEGIE	S-16d	A8 - Mittlerer Ring Sued - Feldkirchen West Freigelände		S-16d		WWK_850100			

ROUTE	DE-10201.M	DE-10201.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10201.A	DE-10201.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10201	New		DE-10201.M	DE-10201.A				

ROUTE	DE-10202.M	DE-10202.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10202.A	DE-10202.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10202	New		DE-10202.M	DE-10202.A				

ROUTE	DE-10203.M	DE-10203.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10203.A	DE-10203.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10203	New		DE-10203.M	DE-10203.A				

ROUTE	DE-10204.M	DE-10204.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10204.A	DE-10204.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10204	New		DE-10204.M	DE-10204.A				

ROUTE	DE-10205.M	DE-10205.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10205.M	DE-10205.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10205	New		DE-10205.M	DE-10205.A				

ROUTE	DE-10206.M	DE-10206.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10206.A	DE-10206.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10206	New		DE-10206.M	DE-10206.A				

ROUTE	DE-10207.M	DE-10207.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10207.A	DE-10207.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10207	New		DE-10207.M	DE-10207.A				

ROUTE	DE-10208.M	DE-10208.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10208.A	DE-10208.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10208	New		DE-10208.M	DE-10208.A				

ROUTE	DE-10209.M	DE-10209.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10209.A	DE-10209.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10209	New		DE-10209.M	DE-10209.A				

ROUTE	DE-10210.M	DE-10210.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10210.A	DE-10210.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10210	New		DE-10210.M	DE-10210.A				

ROUTE	DE-10044.M	DE-10044.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10044.A	DE-10044.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10044	New		DE-10044.M	DE-10044.A				

ROUTE	DE-10045.M	DE-10045.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10045.A	DE-10045.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10045	New		DE-10045.M	DE-10045.A				

ROUTE	DE-10046.M	DE-10046.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10046.A	DE-10046.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10046	New		DE-10046.M	DE-10046.A				

ROUTE	DE-10047.M	DE-10047.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10047.A	DE-10047.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10047	New		DE-10047.M	DE-10047.A				

ROUTE	DE-10048.M	DE-10048.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10048.A	DE-10048.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10048	New		DE-10048.M	DE-10048.A				

ROUTE	DE-10049.M	DE-10049.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10049.A	DE-10049.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10049	New		DE-10049.M	DE-10049.A				

ROUTE	DE-10050.M	DE-10050.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10050.A	DE-10050.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10050	New		DE-10050.M	DE-10050.A				

ROUTE	DE-10051.M	DE-10051.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10051.A	DE-10051.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10051	New		DE-10051.M	DE-10051.A				



ROUTE	DE-10001.M1	DE-10001.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10001.A1	DE-10001.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10001.A1	New		DE-10001.M1	DE-10051.A1				

ROUTE	DE-10001.M2	DE-10001.M2					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10001.A2	DE-10001.A2					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10001.A2	New		DE-10001.M2	DE-10001.A2				

ROUTE	DE-10003.M1	DE-10003.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10003.A1	DE-10003.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10003.A1	New		DE-10003.M1	DE-10003.A1				

ROUTE	DE-10003.M2	DE-10003.M2					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10003.A2	DE-10003.A2					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10003.A2	New		DE-10003.M2	DE-10003.A2				

ROUTE	DE-10005.M	DE-10005.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10005.A	DE-10005.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10005	New		DE-10005.M	DE-10005.A				

ROUTE	DE-10007.M1	DE-10007.M1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10007.A1	DE-10007.A1					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10007.A1	New		DE-10007.M1	DE-10007.A1				

ROUTE	DE-10009.M	DE-10009.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10009.A	DE-10009.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10009	New		DE-10009.M	DE-10009.A				

ROUTE	DE-10034.M	DE-10034.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10034.A	DE-10034.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10034	New		DE-10034.M	DE-10034.A				

ROUTE	DE-10035.M	DE-10035.M					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
ROUTE	DE-10035.A	DE-10035.A					4326	48.03429	11.56582
ROUTE+							4326	48.03483	11.56822
STRATEGIE	DE-10035	New		DE-10035.M	DE-10035.A				

