ID;TYPE;ROADNR;FR;KM;LAT;LON;BEARING
AQ_AQ9_350_Nbg_194;AQ;A9;N;514.000;48.3057;11.6276;24
AQ_AQ9_350_Nbg_P_196;AQ;A9;N;514.000;48.3057;11.6276;24
AQ_AQ9_330_Nbg_194;AQ;A9;N;514.800;48.299256;11.631854;24
AQ_AQ9_310_Nbg_194;AQ;A9;N;515.290;48.2949;11.634;21
AQ_AQ9_280_Nbg_194;AQ;A9;N;516.800;48.2821;11.6406;17
AQ_AQ9_260_Nbg_194;AQ;A9;N;518.500;48.2687;11.6452;15
AQ_AQ9_600_Mch_193;AQ;A9;S;512.350;48.3194;11.619;203
AQ_AQ9_610_Mch_193;AQ;A9;S;513.290;48.3117;11.6232;206
AQ_AQ9_610_Mch_P_195;AQ;A9;S;513.290;48.3117;11.6232;206
AQ_AQ9_630_Mch_193;AQ;A9;S;514.280;48.3033;11.6286;204
AQ_AQ9_650_Mch_193;AQ;A9;S;515.220;48.2954;11.6332;203
AQ_AQ9_670_Mch_193;AQ;A9;S;516.320;48.2861;11.6381;201
AQ_AQ9_690_Mch_193;AQ;A9;S;517.530;48.2756;11.6424;194
AQ_AQ9_695_Mch_193;AQ;A9;S;517.600;48.274961;11.642326;194
AQ_AQ9_723_Mch_193;AQ;A9;S;518.680;48.265408;11.645272;272
AQ_AQ9_730_Mch_193;AQ;A9;S;519.350;48.2596;11.6471;180
AQ_AQ9_240_Nbg_194;AQ;A9;N;519.615;48.2572;11.6472;353
AQ_AQ9_210_Nbg_194;AQ;A9;N;520.740;48.2474;11.6427;344
AQ_AQ9_180_Nbg_194;AQ;A9;N;521.450;48.241241;11.639924;46
AQ_AQ9_170_Nbg_194;AQ;A9;N;522.420;48.2332;11.6356;343
AQ_AQ9_166_Nbg_194;AQ;A9;N;523.375;48.225;11.6313;343
AQ_AQ9_168_Nbg_196;AQ;A9;N;523.365;48.2249;11.6319;357
AQ_AQ9_160_Nbg_194;AQ;A9;N;524.000;48.21919;11.63077;327
AQ_AQ9_155_Nbg_194;AQ;A9;N;524.350;48.2166;11.6271;344
AQ_AQ9_750_Mch_193;AQ;A9;S;520.300;48.2514;11.6443;163
AQ_AQ9_780_Mch_193;AQ;A9;S;521.200;48.2438;11.6405;163
AQ_AQ9_780_Mch_P_195;AQ;A9;S;521.200;48.2438;11.6405;163
AQ_AQ9_782_Mch_193;AQ;A9;S;522.800;48.2297;11.6335;163
AQ_AQ9_783_Mch_193;AQ;A9;S;523.660;48.22255;11.629644;191
AQ_AQ9_786_Mch_193;AQ;A9;S;524.060;48.2193;11.6279;178
AQ_AQ9_788_Mch_195;AQ;A9;S;524.060;48.2192;11.6282;163
AQ_AQ9_790_Mch_193;AQ;A9;S;524.980;48.2114;11.6243;163
AQ_AQ9_135_Nbg_194;AQ;A9;N;525.020;48.2146;11.6264;338
AQ_AQ9_135_Nbg_P_196;AQ;A9;N;525.020;48.2146;11.6264;338
AQ_AQ9_120_Nbg_l_194;AQ;A9;N;525.820;48.2042;11.6215;343
AQ_AQ9_120_Nbg_r_196;AQ;A9;N;525.820;48.2042;11.6215;343
AQ_AQ9_110_Nbg_194;AQ;A9;N;526.020;48.2025;11.6201;343
AQ_AQ_9_477875_Mch_193;AQ;A9;S;477.875;48.6057;11.5483;225
