ID;TYPE;ROADNR;FR;KM;LAT;LON;BEARING
aq.aq9-350-nbg.m.de;AQ;A9;N;514.000;48.3057;11.6276;24
aq.aq9-350-nbg_p.m.de;AQ;A9;N;514.000;48.3057;11.6276;24
aq.aq9-330-nbg.m.de;AQ;A9;N;514.800;48.299256;11.631854;24
aq.aq9-310-nbg.m.de;AQ;A9;N;515.290;48.2949;11.634;21
aq.aq9-280-nbg.m.de;AQ;A9;N;516.800;48.2821;11.6406;17
aq.aq9-260-nbg.m.de;AQ;A9;N;518.500;48.2687;11.6452;15
aq.aq9-600-mch.m.de;AQ;A9;S;512.350;48.3194;11.619;203
aq.aq9-610-mch_p.m.de;AQ;A9;S;513.290;48.3117;11.6232;206
aq.aq9-610-mch.m.de;AQ;A9;S;513.290;48.3117;11.6232;206
aq.aq9-630-mch.m.de;AQ;A9;S;514.280;48.3033;11.6286;204
aq.aq9-650-mch.m.de;AQ;A9;S;515.220;48.2954;11.6332;203
aq.aq9-670-mch.m.de;AQ;A9;S;516.320;48.2861;11.6381;201
aq.aq9-690-mch.m.de;AQ;A9;S;517.530;48.2756;11.6424;194
aq.aq9-695-mch.m.de;AQ;A9;S;517.600;48.274961;11.642326;194
aq.aq9-723-mch.m.de;AQ;A9;S;518.680;48.265408;11.645272;272
aq.aq9-730-mch.m.de;AQ;A9;S;519.350;48.2596;11.6471;180
aq.aq9-240-nbg.m.de;AQ;A9;N;519.615;48.2572;11.6472;353
aq.aq9-210-nbg.m.de;AQ;A9;N;520.740;48.2474;11.6427;344
aq.aq9-180-nbg.m.de;AQ;A9;N;521.450;48.241241;11.639924;46
aq.aq9-170-nbg.m.de;AQ;A9;N;522.420;48.2332;11.6356;343
aq.aq9-168-nbg.m.de;AQ;A9;N;523.375;48.225;11.6313;343
aq.aq9-166-nbg.m.de;AQ;A9;N;523.365;48.2249;11.6319;357
aq.aq9-160-nbg.m.de;AQ;A9;N;524.000;48.21919;11.63077;327
aq.aq9-155-nbg.m.de;AQ;A9;N;524.350;48.2166;11.6271;344
aq.aq9-750-mch.m.de;AQ;A9;S;520.300;48.2514;11.6443;163
aq.aq9-780-mch.m.de;AQ;A9;S;521.200;48.2438;11.6405;163
aq.aq9-780-mch_p.m.de;AQ;A9;S;521.200;48.2438;11.6405;163
aq.aq9-782-mch.m.de;AQ;A9;S;522.800;48.2297;11.6335;163
aq.aq9-783-mch.m.de;AQ;A9;S;523.660;48.22255;11.629644;191
aq.aq9-786-mch.m.de;AQ;A9;S;524.060;48.2193;11.6279;178
aq.aq9-788-mch.m.de;AQ;A9;S;524.060;48.2192;11.6282;163
aq.aq9-790-mch.m.de;AQ;A9;S;524.980;48.2114;11.6243;163
aq.aq9-135-nbg_p.m.de;AQ;A9;N;525.020;48.2146;11.6264;338
aq.aq9-135-nbg.m.de;AQ;A9;N;525.020;48.2146;11.6264;338
aq.aq9-120-nbg-r.m.de;AQ;A9;N;525.820;48.2042;11.6215;343
aq.aq9-120-nbg-l.m.de;AQ;A9;N;525.820;48.2042;11.6215;343
aq.aq9-110-nbg.m.de;AQ;A9;N;526.020;48.2025;11.6201;343
aq.aq_9_477875_mch.m.de;AQ;A9;S;477.875;48.6057;11.5483;225
aq.aq_9_479450_mch.m.de;AQ;A9;S;479.450;48.5952;11.5626;221
aq.aq_9_481060_mch.m.de;AQ;A9;S;481.060;48.5847;11.5776;242
aq.aq_9_adholl_0420_om.m.de;AQ;A9;S;482.030;48.58052;11.588758;287
aq.aq_9_483145_mch.m.de;AQ;A9;S;483.145;48.5718;11.5924;181
aq.aq_9_484325_mch.m.de;AQ;A9;S;484.325;48.5614;11.5892;164
aq.aq_9_485215_mch.m.de;AQ;A9;S;485.215;48.553452;11.589605;205
aq.aq_9_485750_mch.m.de;AQ;A9;S;485.750;48.5492;11.5925;204
