VT_HERKUNFT_ID;VT_KONFIG_VERSION;VT_LAUF_ID;UZ_ID;INTERN;QUERSCHNITT_ID;PROJEKT;BEZEICHNUNG;BAB;VON_KM;BIS_KM;VON_RICHTUNG;IN_RICHTUNG;FAHRTRICHTUNG;FR;ZWISCHEN_BEI_AS;UND_AS;FG;KNOTENNR;LOCATION;DIST;WGS84_BREITE;WGS84_LAENGE;ANZ_DETEKTOREN;LISTE_DE_KANAELE;LISTE_IDS_BETROFFENE_KONFIG_EINTRAEGE
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Arnstein;Würzburg;Bayreuth;Nord/ Ost;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,00199852;10,07653672;1;65;81508
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Arnstein;Bamberg;Bayreuth;Nord/ Ost;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;6;5148161;20110;1;50,00154536;10,07752849;2;1,2;81511,81572
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Arnstein;Bamberg;Bayreuth;Nord/ Ost;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,00201669;10,07654417;1;1;81505
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Bamberg;Würzburg;Bayreuth;Süd/ West;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,00256435;10,07660514;1;97;81509
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Bamberg;Arnstein;Bayreuth;Süd/ West;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,00254907;10,076514;1;33;81506
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Fulda;Bamberg;Bayreuth;Nord/ Ost;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,00209661;10,0766468;1;137;81507
ABDN;20200728;7;28;7;A-000,1;NBA N-SW;A 070 A -0,18;A70;-0,18;;Fulda;Bamberg;Bayreuth;Süd/ West;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;5148161;20110;1;50,0033571;10,07562103;1;161;81510
ABDN;20200728;7;29;16;A000,1;DZS 8+1;B 505 B 000,2;B505;0,147;;Bamberg (B505);BAB A3 (B505);Höchstadt;Süd/ West;AS 79 Pommersfelden (B505);;6;6179841;24140;1;49,73130102;10,82525063;1;1;81882
ABDN;20200728;7;29;16;A000,1;DZS 8+1;B 505 B 000,2;B505;0,147;;BAB A3 (B505);Bamberg (B505);Höchstadt;Nord/ Ost;AS 79 Pommersfelden (B505);;1;6179841;24140;1;49,73128803;10,82531395;1;1;81880
ABDN;20200728;7;29;16;A000,1;DZS 8+1;B 505 B 000,2;B505;0,147;;Bamberg (B505);BAB A3 (B505);Höchstadt;Süd/ West;AS 79 Pommersfelden (B505);;1;6179841;24140;1;49,73128803;10,82531395;1;33;81881
ABDN;20200728;7;28;7;A000,2;NBA N-SW;A 070 A 000,2;A70;0,155;;Bamberg;Fulda;Bayreuth;Süd/ West;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;3177474;12412;2;50,00196668;10,08051311;1;97;81575
ABDN;20200728;7;28;7;A000,2;NBA N-SW;A 070 A 000,2;A70;0,155;;Arnstein;Fulda;Bayreuth;Nord/ Ost;2 ADSchweinfurt/ Werneck (A7(99)/B26a);;1;3177474;12412;2;50,00059732;10,08036226;1;65;81573
