Zeile;id;Querschnitt_ID;Querschnitt;Bezeichner;DE_Kanal;Knotennummer;Breite_WGS;Laenge_WGS;Nummer;Betriebs_km;DZ_Nummer;Betriebsstatus;SST_ID;Streckenstation;FG;Unterzentrale;Fahrtrichtung
1;62724;Querschnitt5862;MQ_TEU001_Mch;TEU001_H1;0;9990001;48.16700001;11.45359995;5862;0.0;;Betriebsstatus1;Streckenstation1601;TEU 001;1;Concert Zentrale;A8-West Richtung M.-Zentrum
2;60906;Querschnitt5863;MQTEU002_Krh;TEU002_Kch_H2;1;9990002;48.15675889;11.71995001;5863;12.1;;Betriebsstatus1;Streckenstation1602;TEU 002;1;Concert Zentrale;St2082 Richtung Kirchheim
4;56110;Querschnitt5864;MQTEU003_Mch;TEU003_H1;0;9990003;48.10470003;11.74320001;5864;14.18;;Betriebsstatus1;Streckenstation1603;TEU 003;1;Concert Zentrale;B304-Ost Richtung West
6;51422;Querschnitt5865;MQTEU004_Mch;TEU004_H1;0;9990004;48.10620001;11.73609997;5865;13.1;;Betriebsstatus1;Streckenstation1604;TEU 004;1;Concert Zentrale;B304-Ost Richtung West
8;63108;Querschnitt5866;MQTEU005_Fhm;TEU005_H1;0;9990005;48.36030889;11.74000001;5866;5.5;;Betriebsstatus1;Streckenstation1605;TEU 005;1;Concert Zentrale;FS44 Richtung Süd
9;60466;Querschnitt5867;MQTEU006_Edg;TEU006_H2;1;9990006;48.35080348;11.74110075;5867;0.25;;Betriebsstatus1;Streckenstation1606;TEU 006;1;Concert Zentrale;St2584 Richtung Erding
12;53202;Querschnitt5868;MQTEU007_Edg;TEU007_H3;2;9990007;48.35146903;11.74894464;5868;1.3;;Betriebsstatus1;Streckenstation1607;TEU 007;1;Concert Zentrale;St2584 Richtung Erding
15;51975;Querschnitt5869;MQTEU008_Edg;TEU008_H3;2;9990008;48.35269544;11.7666053;5869;2.2;;Betriebsstatus1;Streckenstation1608;TEU 008;1;Concert Zentrale;St2584 Richtung Erding
18;52838;Querschnitt5870;MQTEU009_Hbm;TEU009_H1;0;9990009;48.36113217;11.80839078;5870;5.6;;Betriebsstatus1;Streckenstation1609;TEU 009;1;Concert Zentrale;St2584 Richtung BAB A92
19;60634;Querschnitt5871;MQTEU010_Hbm;TEU010_H2;1;9990010;48.3604564;11.8497565;5871;9.0;;Betriebsstatus1;Streckenstation1610;TEU 010;1;Concert Zentrale;St2584 Richtung BAB A92
21;59142;Querschnitt5872;MQTEU011_Edg;TEU011_H1;0;9990011;48.36300246;11.85289435;5872;2.7;;Betriebsstatus1;Streckenstation1611;TEU 011;1;Concert Zentrale;St2580 Richtung BAB A94
22;59448;Querschnitt5458;GMA_Adelshausen_Mch;WUD_LT_Adelshausen_Mch;12;806284;48.36675828;11.11349628;5458;33.835;;Betriebsstatus1;Streckenstation1489;Adelshausen;3;GMA - UZ Augsburg;A8-West Richtung M.-Zentrum
32;60239;Querschnitt5454;GMA_Einsbach_Mch;WUD_TT3_Einsbach_Mch;24;818151;48.27647413;11.27871722;5454;17.95;;Betriebsstatus1;Streckenstation1486;Einsbach;3;GMA - UZ Augsburg;A8-West Richtung M.-Zentrum
41;55996;Querschnitt5457;GMA_Leipheim_Mch;WUD_GT_Leipheim_Mch;16;818885;48.44661372;10.20656462;5457;105.106;;Betriebsstatus1;Streckenstation1488;Leipheim;3;GMA - UZ Augsburg;A8-West Richtung M.-Zentrum
44;51856;Querschnitt5456;GMA_Leipheim_Stg;WUD_TPT_Leipheim_Stg;14;818885;48.44670915;10.20673294;5456;105.106;;Betriebsstatus1;Streckenstation1488;Leipheim;3;GMA - UZ Augsburg;A8-West Richtung Stuttgart
52;59361;Querschnitt5455;GMA_Streitheim_Mch;WUD_LT_Streitheim_Mch;12;818560;48.4198402;10.68194422;5455;67.45;;Betriebsstatus1;Streckenstation1487;Streitheim;3;GMA - UZ Augsburg;A8-West Richtung M.-Zentrum
63;64080;Querschnitt6982;GMA_Buchloe_Mch;WUD_GT_Buchloe_Mch;15;9608519;48.02651;10.72749;;108.65;;Betriebsstatus1;Streckenstation2047;Buchloe;3;GMA - UZ Memmingen;A96 Richtung M.-Zentrum
73;55211;Querschnitt5445;GMA_Hittistetten_Fld;WUD_LT_Hittistetten_Fld;12;706539;48.3249659;10.08911678;5445;851.7;;Betriebsstatus1;Streckenstation1479;Hittistetten;3;GMA - UZ Memmingen;A7 Richtung Fulda
83;59394;Querschnitt6108;GMA_Illerkanal-Bruecke_Fue;WUD_RLF_Illertalkanal_Fue;13;717459;48.07189962;10.1385712;6108;881.55;;Betriebsstatus1;Streckenstation1647;Illerkanal-Bruecke;3;GMA - UZ Memmingen;A7 Richtung Füssen
93;61126;Querschnitt5446;GMA_Illertalbruecke_Fue;WUD_FBT_Illertalbruecke_Fue;19;717233;48.13357408;10.11023641;5446;874.2;;Betriebsstatus1;Streckenstation1480;Illertalbruecke;3;GMA - UZ Memmingen;A7 Richtung Füssen
103;60055;Querschnitt5450;GMA_Kirchdorfer Berg_Mch;WUD_WGM_Kirchdorfer Berg_Mch;26;9607520;48.03796996;10.55238676;5450;95.0;;Betriebsstatus1;Streckenstation1483;Kirchdorfer Berg;3;GMA - UZ Memmingen;A96 Richtung M.-Zentrum
116;59500;Querschnitt5449;GMA_Kohlberg Tunnel_Lin;WUD_GT_Kohlberg Tunnel_Lin;15;9607304;48.03749751;10.38772325;5449;81.5;;Betriebsstatus1;Streckenstation1482;Kohlberg Tunnel;3;GMA - UZ Memmingen;A96 Richtung Lindau
133;52749;Querschnitt5451;GMA_Leibi_Fld;GMA_LT_Leibi_Fld;12;706069;48.4398307;10.11110379;5451;838.5;;Betriebsstatus1;Streckenstation1484;Leibi;3;GMA - UZ Memmingen;A7 Richtung Fulda
146;64078;Querschnitt6981;GMA_Memmingen-Sued_Fue;WUD_NS_Memmingen-Sued_Fue;6;703725;47.9902;10.15069;;891.05;;Betriebsstatus1;Streckenstation2046;Memmingen-Sued;3;GMA - UZ Memmingen;A7 Richtung Füssen
157;59515;Querschnitt5448;GMA_Memmingen Ost_Lin;WUD_TT1_Memmingen Ost_Lin;21;9617058;47.99891429;10.18538651;5448;66.1;;Betriebsstatus1;Streckenstation1481;Memmingen Ost;3;GMA - UZ Memmingen;A96 Richtung Lindau
167;60228;Querschnitt5452;GMA_Memmingen West_Lin;WUD_FBZ_Memmingen West_Lin;11;9616892;47.95851712;10.1082884;5452;58.1;;Betriebsstatus1;Streckenstation1485;Memmingen West;3;GMA - UZ Memmingen;A96 Richtung Lindau
181;52895;Querschnitt5453;GMA_Memmingen West_Mch;WUD_ZRG_Memmingen West_Mch;18;9616892;47.95843837;10.10855383;5453;58.1;;Betriebsstatus1;Streckenstation1485;Memmingen West;3;GMA - UZ Memmingen;A96 Richtung M.-Zentrum
