ID;TYPE;ROADNR;FR;KM;LAT;LON;BEARING
WWQ_92572b;WWW;;;;48.3295667;11.6532167;112
WWQ_92572a;WWW;;;;48.3295667;11.6532167;112
WWQ_92584;WWW;;;;48.3258138;11.6411835;121
WWQ_92586;WWW;;;;48.3247347;11.6384085;123
WWQ_92588;WWW;;;;48.3237221;11.6359995;126
WWQ_92_AK_Neuf_1174_UM;WWW;;;;48.3203723;11.628607;127
WWQ_92_AK_Neuf_1454_UM;WWW;;;;48.3189585;11.6254104;112
WWQ_92622;WWW;;;;48.3011675;11.5890021;128
WWQ_92623;WWW;;;;48.2984217;11.5833067;128
WWQ_92372;WWW;;;;48.2582483;11.5337911;166
WWQ_92321;WWW;;;;48.2539284;11.5325533;177
WWQ_92684;WWW;;;;48.2394352;11.5364793;208
WWQ_92686;WWW;;;;48.2349028;11.5398956;209
WWQ_92696;WWW;;;;48.2325017;11.5418033;204
WWQ_922430;WWW;;;;48.2466591;11.533496;11
WWQ_922900;WWW;;;;48.2511779;11.5328067;1
WWQ_9584;WWW;;;;48.3322855;11.6118997;203
WWQ_9586;WWW;;;;48.3277025;11.6144854;201
WWQ_9590;WWW;;;;48.3240323;11.6163522;202
WWQ_9601;WWW;;;;48.3187013;11.6191712;204
WWQ_9700;WWW;;;;48.2726236;11.6434801;195
WWQ_9710;WWW;;;;48.2685839;11.6448319;195
WWQ_9740;WWW;;;;48.2558354;11.6464948;169
WWQ_9760;WWW;;;;48.2491994;11.6432682;164
WWQ_9.781a;WWW;;;;48.2416536;11.6393387;164
WWQ_9.781b;WWW;;;;48.2378691;11.6374719;163
WWQ_9.781c;WWW;;;;48.2335361;11.6352618;164
WWQ_9.781d;WWW;;;;48.2312142;11.6341647;164
WWQ_9125;WWW;;;;48.2054738;11.6215597;343
WWQ_9130;WWW;;;;48.208137;11.6229424;343
WWQ_9140;WWW;;;;48.2148103;11.6264856;337
WWQ_9238;WWW;;;;48.2555182;11.6465753;348
WWQ_9248;WWW;;;;48.2606842;11.647396;5
WWQ_9308;WWW;;;;48.2917087;11.6356467;21
WWQ_9328;WWW;;;;48.2989009;11.6317266;24
WWQ_9345;WWW;;;;48.3030725;11.6292482;23
WWQ_99025;WWW;;;;48.2241147;11.5276381;289
WWQ_99028;WWW;;;;48.2246024;11.5301889;287
WWQ_99058;WWW;;;;48.2274339;11.5743957;280
WWQ_99056;WWW;;;;48.2279936;11.5810664;279
WWQ_99062;WWW;;;;48.2287655;11.5930223;272
WWQ_99063;WWW;;;;48.2285432;11.6000014;266
WWQ_99072;WWW;;;;48.2272443;11.6099792;255
WWQ_99765;WWW;;;;48.2029672;11.6606435;59
WWQ_99772;WWW;;;;48.207543;11.6515186;50
WWQ_99777;WWW;;;;48.2141329;11.6416562;46
WWQ_99782;WWW;;;;48.2161852;11.6385797;44
WWQ_99784;WWW;;;;48.2181743;11.6353851;43
WWQ_99785;WWW;;;;48.2205576;11.6309273;56
WWQ_99.X;WWW;;;;48.2267838;11.5525234;93
WWQ_99.X2;WWW;;;;48.2267379;11.5500054;94
WWQ99_29277_Sbg;WWW;;;;48.194943;11.683296;252
WWQ99_28850_Sbg;WWW;;;;48.196385;11.677947;249
WWQ99_ASAsh_0530_AM;WWW;;;;48.194324;11.686158;248
WWQ99_ASAsh_0920_AM;WWW;;;;48.192396;11.694862;217
AQ99-145-Sbg;WWW;;;;48.185058;11.718203;234
AQ99-152-Sbg;WWW;;;;48.181507;11.724273;226
AQ99-160-Sbg;WWW;;;;48.17696;11.730192;221
AQ99-180-Sbg;WWW;;;;48.173469;11.733988;217
AQ99-200-Sbg;WWW;;;;48.161082;11.745878;212
AQ99-220-Sbg;WWW;;;;48.153086;11.752322;208
AQ99-230-Sbg;WWW;;;;48.148591;11.755095;202
AQ8O_100_Mch;WWW;;;;47.999914;11.675263;26
AQ8O_110_Mch;WWW;;;;48.006356;11.670903;25
AQ8O_120_Mch;WWW;;;;48.010479;11.668035;27
AQ8O_130_Mch;WWW;;;;48.012897;11.666368;28
AQ8O_140_Mch;WWW;;;;48.019263;11.663034;17
AQ99-630-Stg;WWW;;;;48.119315;11.758515;355
AQ99-635-Stg;WWW;;;;48.126588;11.759499;360
AQ99-650-Stg;WWW;;;;48.132617;11.759585;3
AQ99-670-Stg;WWW;;;;48.136855;11.759287;6
AQ99-685-Stg;WWW;;;;48.140314;11.75893;358
AQ99-695-Stg;WWW;;;;48.143717;11.758236;320
WWQ94_188_Mch;WWW;;;;48.147421;11.78173;126
WWQ94_190_Mch;WWW;;;;48.144927;11.776792;127
WWQ94_194_Mch;WWW;;;;48.142971;11.769603;103
WWQ94_201_Mch;WWW;;;;48.142148;11.719853;95
WWQ94_202_Mch;WWW;;;;48.142097;11.714698;91
WWQ94_003_Mch;WWW;;;;48.142221;11.698049;99
WWQ94_004_Mch;WWW;;;;48.141838;11.694731;106
WWQ94_005_Mch;WWW;;;;48.137741;11.681178;109
WWQ94_006_Mch;WWW;;;;48.137342;11.676863;91
WWQ94_007_Pas;WWW;;;;48.13869;11.664609;262
WWQ94_008_Pas;WWW;;;;48.138199;11.668145;258
WWQ94_009_Pas;WWW;;;;48.137017;11.67667;270
WWQ94_010_Pas;WWW;;;;48.137266;11.680425;284
WWQ94_011_Pas;WWW;;;;48.13812;11.684151;298
WWQ94_012_Pas;WWW;;;;48.141988;11.699686;276
WWQ94_013_Pas;WWW;;;;48.142048;11.704491;270
